iter	RMSE
0	0.9090608117
1	0.8987535903
2	0.8876375493
3	0.8800143113
4	0.8731432581
5	0.8658683229
6	0.8603415685
7	0.856578256
8	0.8529655644
9	0.8484574487
10	0.8415501845
11	0.8386610534
12	0.8366053921
13	0.8335501511
14	0.8316953855
15	0.8304509203
16	0.82931416
17	0.8277746016
18	0.8259140032
19	0.8234543288
20	0.8208769289
21	0.8201657806
22	0.8191726016
23	0.8179068517
24	0.8166387281
25	0.8147226976
26	0.8121661183
27	0.8107432219
28	0.809404733
29	0.8069805174
30	0.8047172203
31	0.8041918346
32	0.8035424378
33	0.8029612892
34	0.8017436991
35	0.8004214866
36	0.7997338618
37	0.7978942549
38	0.7965249241
39	0.7954836271
40	0.7949234264
41	0.7935966237
42	0.7929263129
43	0.7921095967
44	0.791336942
45	0.791177281
46	0.7905357693
47	0.7899097099
48	0.7892074077
49	0.7885514282
50	0.7861340182
51	0.7857518673
52	0.7837285283
53	0.7832390864
54	0.7827779566
55	0.781254057
56	0.779899215
57	0.7793744212
58	0.7784976378
59	0.7776420867
60	0.7772942901
61	0.7768754895
62	0.7763746363
