iter	Passed	Remaining
0	51	3171
1	101	3087
2	158	3175
3	204	3020
4	253	2940
5	309	2941
6	369	2952
7	419	2881
8	465	2795
9	514	2725
10	567	2684
11	628	2670
12	683	2627
13	748	2618
14	815	2609
15	874	2569
16	930	2519
17	999	2499
18	1074	2489
19	1258	2706
20	1332	2664
21	1398	2606
22	1453	2527
23	1503	2443
24	1560	2371
25	1627	2315
26	1690	2254
27	1751	2189
28	1808	2119
29	1860	2046
30	1909	1971
31	1964	1903
32	2030	1846
33	2123	1811
34	2207	1766
35	2291	1718
36	2463	1730
37	2549	1677
38	2886	1776
39	3160	1817
40	3215	1725
41	3277	1638
42	3327	1547
43	3376	1458
44	3426	1370
45	3478	1285
46	3529	1201
47	3580	1118
48	3634	1038
49	3692	959
50	3744	881
51	3803	804
52	3878	731
53	3939	656
54	3992	580
55	4045	505
56	4097	431
57	4158	358
58	4210	285
59	4257	212
60	4303	141
61	4354	70
62	4404	0
