,Resort,Week,Year,Rating
0,Charlotte Pass,week1,2017,5.0
1,Charlotte Pass,week1,2019,5.0
2,Charlotte Pass,week1,2025,5.0
3,Charlotte Pass,week10,2020,5.0
4,Charlotte Pass,week10,2021,5.0
5,Charlotte Pass,week10,2022,3.5
6,Charlotte Pass,week10,2025,5.0
7,Charlotte Pass,week11,2018,1.0
8,Charlotte Pass,week11,2022,2.0
9,Charlotte Pass,week12,2018,1.0
10,Charlotte Pass,week12,2022,5.0
11,Charlotte Pass,week13,2021,1.0
12,Charlotte Pass,week13,2024,5.0
13,Charlotte Pass,week2,2019,5.0
14,Charlotte Pass,week2,2025,4.0
15,Charlotte Pass,week3,2022,4.0
16,Charlotte Pass,week3,2024,5.0
17,Charlotte Pass,week4,2020,1.0
18,Charlotte Pass,week5,2024,4.0
19,Charlotte Pass,week6,2019,2.0
20,Charlotte Pass,week6,2021,5.0
21,Charlotte Pass,week6,2023,3.0
22,Charlotte Pass,week7,2023,5.0
23,Charlotte Pass,week7,2025,3.0
24,Charlotte Pass,week8,2020,1.0
25,Charlotte Pass,week8,2021,5.0
26,Charlotte Pass,week8,2022,5.0
27,Charlotte Pass,week9,2019,5.0
28,Charlotte Pass,week9,2020,5.0
29,Charlotte Pass,week9,2025,5.0
30,Falls Creek,week1,2016,3.0
31,Falls Creek,week1,2017,5.0
32,Falls Creek,week1,2018,4.0
33,Falls Creek,week1,2019,5.0
34,Falls Creek,week1,2021,4.0
35,Falls Creek,week1,2022,3.0
36,Falls Creek,week10,2017,4.75
37,Falls Creek,week10,2018,4.666666666666667
38,Falls Creek,week10,2019,3.9166666666666665
39,Falls Creek,week10,2022,3.0
40,Falls Creek,week10,2023,4.666666666666667
41,Falls Creek,week10,2024,5.0
42,Falls Creek,week11,2017,4.666666666666667
43,Falls Creek,week11,2018,4.25
44,Falls Creek,week11,2019,4.75
45,Falls Creek,week11,2022,4.333333333333333
46,Falls Creek,week11,2023,4.0
47,Falls Creek,week11,2024,5.0
48,Falls Creek,week11,2025,4.333333333333333
49,Falls Creek,week12,2016,5.0
50,Falls Creek,week12,2017,4.666666666666667
51,Falls Creek,week12,2018,4.375
52,Falls Creek,week12,2019,4.666666666666667
53,Falls Creek,week12,2022,5.0
54,Falls Creek,week12,2023,3.0
55,Falls Creek,week12,2024,4.0
56,Falls Creek,week12,2025,5.0
57,Falls Creek,week13,2016,5.0
58,Falls Creek,week13,2017,5.0
59,Falls Creek,week13,2018,4.0
60,Falls Creek,week13,2019,4.666666666666667
61,Falls Creek,week13,2023,5.0
62,Falls Creek,week13,2024,2.0
63,Falls Creek,week14,2016,5.0
64,Falls Creek,week14,2017,5.0
65,Falls Creek,week14,2018,4.5
66,Falls Creek,week14,2019,5.0
67,Falls Creek,week14,2021,5.0
68,Falls Creek,week14,2022,5.0
69,Falls Creek,week14,2023,5.0
70,Falls Creek,week15,2015,5.0
71,Falls Creek,week15,2017,4.166666666666667
72,Falls Creek,week15,2019,5.0
73,Falls Creek,week15,2022,3.0
74,Falls Creek,week15,2023,3.5
75,Falls Creek,week2,2017,5.0
76,Falls Creek,week2,2019,5.0
77,Falls Creek,week2,2021,4.666666666666667
78,Falls Creek,week2,2022,5.0
79,Falls Creek,week2,2023,1.0
80,Falls Creek,week2,2025,5.0
81,Falls Creek,week3,2018,4.333333333333333
82,Falls Creek,week3,2019,5.0
83,Falls Creek,week3,2021,4.0
84,Falls Creek,week3,2022,3.75
85,Falls Creek,week3,2023,4.0
86,Falls Creek,week3,2025,2.5
87,Falls Creek,week4,2017,3.3333333333333335
88,Falls Creek,week4,2018,5.0
89,Falls Creek,week4,2019,4.25
90,Falls Creek,week4,2023,4.5
91,Falls Creek,week4,2024,2.3333333333333335
92,Falls Creek,week4,2025,5.0
93,Falls Creek,week5,2017,3.0
94,Falls Creek,week5,2018,4.5
95,Falls Creek,week5,2019,3.5
96,Falls Creek,week5,2020,4.0
97,Falls Creek,week5,2021,4.666666666666667
98,Falls Creek,week5,2022,5.0
99,Falls Creek,week5,2023,5.0
100,Falls Creek,week5,2024,5.0
101,Falls Creek,week5,2025,2.0
102,Falls Creek,week6,2017,5.0
103,Falls Creek,week6,2018,4.222222222222222
104,Falls Creek,week6,2019,4.75
105,Falls Creek,week6,2021,5.0
106,Falls Creek,week6,2022,3.0
107,Falls Creek,week6,2023,5.0
108,Falls Creek,week6,2024,3.0
109,Falls Creek,week6,2025,4.25
110,Falls Creek,week7,2016,5.0
111,Falls Creek,week7,2017,3.6666666666666665
112,Falls Creek,week7,2018,4.25
113,Falls Creek,week7,2019,2.6666666666666665
114,Falls Creek,week7,2020,1.0
115,Falls Creek,week7,2022,5.0
116,Falls Creek,week7,2023,5.0
117,Falls Creek,week7,2024,3.0
118,Falls Creek,week7,2025,4.5
119,Falls Creek,week8,2017,4.25
120,Falls Creek,week8,2018,4.25
121,Falls Creek,week8,2019,4.8
122,Falls Creek,week8,2022,4.5
123,Falls Creek,week8,2023,4.5
124,Falls Creek,week8,2024,5.0
125,Falls Creek,week8,2025,5.0
126,Falls Creek,week9,2016,4.0
127,Falls Creek,week9,2017,3.75
128,Falls Creek,week9,2018,4.666666666666667
129,Falls Creek,week9,2019,5.0
130,Falls Creek,week9,2021,5.0
131,Falls Creek,week9,2022,4.0
132,Falls Creek,week9,2023,4.857142857142857
133,Falls Creek,week9,2024,5.0
134,Falls Creek,week9,2025,5.0
135,Mt. Baw Baw,week1,2018,3.25
136,Mt. Baw Baw,week1,2019,5.0
137,Mt. Baw Baw,week1,2021,5.0
138,Mt. Baw Baw,week1,2022,3.5
139,Mt. Baw Baw,week1,2023,5.0
140,Mt. Baw Baw,week1,2025,5.0
141,Mt. Baw Baw,week10,2017,5.0
142,Mt. Baw Baw,week10,2018,5.0
143,Mt. Baw Baw,week10,2019,5.0
144,Mt. Baw Baw,week10,2021,5.0
145,Mt. Baw Baw,week10,2022,3.142857142857143
146,Mt. Baw Baw,week10,2024,3.6666666666666665
147,Mt. Baw Baw,week10,2025,4.666666666666667
148,Mt. Baw Baw,week11,2018,4.25
149,Mt. Baw Baw,week11,2019,4.0
150,Mt. Baw Baw,week11,2020,4.0
151,Mt. Baw Baw,week11,2022,4.0
152,Mt. Baw Baw,week11,2023,5.0
153,Mt. Baw Baw,week11,2024,4.0
154,Mt. Baw Baw,week11,2025,3.6666666666666665
155,Mt. Baw Baw,week12,2018,3.6666666666666665
156,Mt. Baw Baw,week12,2019,4.4
157,Mt. Baw Baw,week12,2022,3.0
158,Mt. Baw Baw,week12,2023,5.0
159,Mt. Baw Baw,week12,2024,3.3333333333333335
160,Mt. Baw Baw,week12,2025,3.75
161,Mt. Baw Baw,week13,2016,5.0
162,Mt. Baw Baw,week13,2018,4.0
163,Mt. Baw Baw,week13,2021,5.0
164,Mt. Baw Baw,week13,2022,5.0
165,Mt. Baw Baw,week13,2023,5.0
166,Mt. Baw Baw,week14,2018,3.0
167,Mt. Baw Baw,week14,2024,5.0
168,Mt. Baw Baw,week15,2018,4.0
169,Mt. Baw Baw,week15,2021,5.0
170,Mt. Baw Baw,week15,2022,5.0
171,Mt. Baw Baw,week15,2023,5.0
172,Mt. Baw Baw,week15,2024,5.0
173,Mt. Baw Baw,week2,2018,5.0
174,Mt. Baw Baw,week2,2019,4.333333333333333
175,Mt. Baw Baw,week2,2020,5.0
176,Mt. Baw Baw,week2,2021,1.0
177,Mt. Baw Baw,week2,2022,3.0
178,Mt. Baw Baw,week2,2023,5.0
179,Mt. Baw Baw,week2,2024,2.5
180,Mt. Baw Baw,week3,2017,3.0
181,Mt. Baw Baw,week3,2019,3.6666666666666665
182,Mt. Baw Baw,week3,2020,3.6666666666666665
183,Mt. Baw Baw,week3,2022,4.0
184,Mt. Baw Baw,week3,2023,3.0
185,Mt. Baw Baw,week3,2024,5.0
186,Mt. Baw Baw,week4,2017,5.0
187,Mt. Baw Baw,week4,2018,5.0
188,Mt. Baw Baw,week4,2019,4.0
189,Mt. Baw Baw,week4,2020,1.0
190,Mt. Baw Baw,week4,2021,1.0
191,Mt. Baw Baw,week4,2022,3.75
192,Mt. Baw Baw,week4,2023,4.428571428571429
193,Mt. Baw Baw,week4,2024,5.0
194,Mt. Baw Baw,week4,2025,5.0
195,Mt. Baw Baw,week5,2018,3.3333333333333335
196,Mt. Baw Baw,week5,2019,3.1666666666666665
197,Mt. Baw Baw,week5,2020,4.0
198,Mt. Baw Baw,week5,2021,2.3333333333333335
199,Mt. Baw Baw,week5,2022,3.2
200,Mt. Baw Baw,week5,2023,2.8
201,Mt. Baw Baw,week5,2024,3.0
202,Mt. Baw Baw,week5,2025,4.2
203,Mt. Baw Baw,week6,2017,1.0
204,Mt. Baw Baw,week6,2018,2.0
205,Mt. Baw Baw,week6,2019,3.0
206,Mt. Baw Baw,week6,2021,4.5
207,Mt. Baw Baw,week6,2022,5.0
208,Mt. Baw Baw,week6,2023,4.0
209,Mt. Baw Baw,week6,2024,3.8
210,Mt. Baw Baw,week6,2025,4.0
211,Mt. Baw Baw,week7,2017,5.0
212,Mt. Baw Baw,week7,2018,1.0
213,Mt. Baw Baw,week7,2019,5.0
214,Mt. Baw Baw,week7,2020,1.0
215,Mt. Baw Baw,week7,2022,4.333333333333333
216,Mt. Baw Baw,week7,2023,3.6666666666666665
217,Mt. Baw Baw,week7,2024,4.571428571428571
218,Mt. Baw Baw,week7,2025,3.75
219,Mt. Baw Baw,week8,2017,3.0
220,Mt. Baw Baw,week8,2018,3.0
221,Mt. Baw Baw,week8,2019,4.5
222,Mt. Baw Baw,week8,2022,3.0
223,Mt. Baw Baw,week8,2023,4.0
224,Mt. Baw Baw,week8,2024,3.8
225,Mt. Baw Baw,week8,2025,4.666666666666667
226,Mt. Baw Baw,week9,2017,5.0
227,Mt. Baw Baw,week9,2018,4.0
228,Mt. Baw Baw,week9,2019,4.75
229,Mt. Baw Baw,week9,2021,4.0
230,Mt. Baw Baw,week9,2022,3.5
