Week,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres),Mean temperature (Degree C)
Week1 (2010-05-30),5.351428571428571,1.74,309.6,3.545714285714286
Week2 (2010-06-06),5.612244897959184,-0.3510204081632653,245.4,2.6306122448979594
Week3 (2010-06-13),0.46938775510204084,-4.375510204081633,121.0,-1.953061224489796
Week4 (2010-06-20),2.1714285714285717,-1.8571428571428572,368.8,0.15714285714285725
Week5 (2010-06-27),2.9071428571428575,-1.830232558139535,287.40000000000003,0.5384551495016613
Week6 (2010-07-04),-0.5023809523809524,-5.433333333333333,26.4,-2.9678571428571425
Week7 (2010-07-11),3.153191489361702,-2.9404255319148933,199.2,0.1063829787234043
Week8 (2010-07-18),1.436734693877551,-3.589795918367347,556.4,-1.076530612244898
Week9 (2010-07-25),2.4918367346938775,-3.742857142857143,48.6,-0.6255102040816327
Week10 (2010-08-01),3.010204081632653,-1.3816326530612246,206.6,0.8142857142857142
Week11 (2010-08-08),-0.15918367346938778,-4.687755102040816,280.0,-2.4234693877551017
Week12 (2010-08-15),2.0979591836734692,-2.9857142857142858,264.6,-0.44387755102040827
Week13 (2010-08-22),-0.22653061224489793,-4.481632653061224,421.0,-2.354081632653061
Week14 (2010-08-29),-0.5122448979591837,-4.826530612244898,289.2,-2.669387755102041
Week15 (2010-09-05),4.146938775510204,-1.4816326530612243,898.6,1.33265306122449
Week16 (2010-09-12),1.920408163265306,-2.938775510204082,319.4,-0.5091836734693879
Week17 (2010-09-19),3.2142857142857144,-2.461224489795918,63.2,0.37653061224489814
Week18 (2010-09-26),8.006122448979593,0.4061224489795918,10.0,4.206122448979592
Week19 (2010-10-03),5.442857142857143,-2.0142857142857142,60.800000000000004,1.7142857142857144
Week20 (2010-10-10),9.76530612244898,2.1061224489795918,184.0,5.935714285714286
Week21 (2010-10-17),6.773469387755101,1.3591836734693876,807.8,4.066326530612244
Week22 (2010-10-24),9.951020408163266,1.4040816326530612,132.6,5.677551020408163
Week23 (2010-10-31),10.66734693877551,3.6122448979591835,588.1999999999999,7.139795918367347
Week24 (2010-11-07),6.795833333333333,-0.33877551020408164,211.6,3.228528911564626
Week25 (2010-11-14),14.893333333333334,8.711363636363636,508.2,11.802348484848485
Week26 (2010-11-21),12.542857142857143,3.5020408163265304,200.2,8.022448979591836
Week27 (2010-11-28),14.82857142857143,8.908163265306122,432.0,11.868367346938776
Week28 (2010-12-05),13.644897959183673,6.4734693877551015,492.4,10.059183673469388
Week29 (2010-12-12),12.33469387755102,6.691489361702128,565.8,9.513091619626573
Week30 (2010-12-19),10.695238095238095,3.897727272727273,187.0,7.296482683982684
Week31 (2010-12-26),13.229787234042552,4.389130434782609,330.0,8.809458834412581
Week32 (2011-01-02),17.383673469387755,7.808163265306123,39.2,12.59591836734694
